University_Name,Country_Rank,World_Rank
Sikkim University,114,5003
Siksha 'O' Anusandhan,257,7087
Singhania University,534,9351
Sir Padampat Singhania University,543,9384
South Asian University,220,6591
Spicer Adventist University,845,12016
Sree Chitra Thirunal Institute of Medical Sciences and Technology,153,5810
Sree Sankaracharya University of Sanskrit,549,9417
Sri Balaji Vidyapeeth,563,9465
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,472,8928
Sri Dev Suman Uttarakhand University,630,10060
Sri Devaraj Urs Academy of Higher Education and Research,701,10641
Sri Guru Granth Sahib World University,612,9892
Sri Guru Ram Das University of Health Sciences,860,12433
Sri Konda Laxman Telangana State Horticultural University,811,11624
Sri Krishnadevaraya University,449,8796
Sri Padmavati Mahila Visvavidyalayam,417,8517
Sri Ramachandra Institute of Higher Education and Research,162,5919
Sri Sai University,755,10988
Sri Sathya Sai Institute of Higher Learning,498,9113
Sri Satya Sai University of Technology and Medical Sciences,745,10929
Sri Siddhartha Academy of Higher Education,737,10848
Sri Sri University,523,9261
Sri Venkateswara Institute of Medical Sciences,254,7061
Sri Venkateswara University,388,8306
Sri Venkateswara Vedic University,778,11263
Sri Venkateswara Veterinary University,603,9797
Srimanta Sankaradeva University of Health Sciences,646,10154
Srinivas University,759,11030
SRM Institute of Science and Technology,19,1849
SRM University Haryana,365,8078
"SRM University, Sikkim",842,11996
St. Joseph University,862,12479
St. Peter's Institute of Higher Education and Research,462,8878
St. Xavier's University,691,10500
Starex University,819,11701
State University of Performing and Visual Arts,827,11771
Suamandeep Vidyapeeth,696,10592
Sunrise University,799,11387
Suresh Gyan Vihar University,258,7094
Swami Keshwanand Rajasthan Agricultural University,606,9814
Swami Rama Himalayan University,593,9726
Swami Ramanand Teerth Marathwada University,175,6050
Swami Vivekanand Subharti University,166,5938
Swami Vivekanand University,802,11438
Swami Vivekananda Yoga Anusandhana Samsthana,459,8852
Swarnim Gujarat Sports University,409,8468
Swarnim Startup and Innovation University,849,12057
Symbiosis International University,111,4912
Symbiosis University of Applied Sciences,746,10931
Tamil Nadu Agricultural University,26,2179
Tamil Nadu Dr Ambedkar Law University,492,9042
Tamil Nadu Dr. J. Jayalalithaa Fisheries University,597,9753
Tamil Nadu Dr. M.G.R.Medical University,318,7720
Tamil Nadu Music and Fine Arts University,857,12329
Tamil Nadu National Law University,749,10938
Tamil Nadu Physical Education and Sports University,501,9145
Tamil Nadu Teacher Education University,279,7308
Tamil Nadu Veterinary and Animal Sciences University,287,7414
Tamil University,559,9459
Tantia University,752,10983
Tata Institute of Fundamental Research,12,1529
Tata Institute of Social Sciences,21,2012
TeamLease Skills University,689,10482
Techno India University,623,9965
Teerthanker Mahaveer University,430,8596
Telangana University,560,9460
TERI School of Advanced Studies,225,6651
Tezpur University,90,4536
Thapar Institute of Engineering and Technology,62,3942
The English and Foreign Languages University,263,7134
The IIS University,341,7872
The Indian Law Institute,405,8449
The LNM Institute of Information Technology,294,7492
The Maharaja Sayajirao University of Baroda,63,3975
The National University of Advanced Legal Studies,463,8883
The Neotia University,767,11091
The Northcap University,230,6733
The Sanskrit College and University,846,12024
The West Bengal National University of Juridical Sciences,198,6354
Thiruvalluvar University,571,9581
Thunchath Ezhuthachan Malayalam University,681,10422
Tilak Maharashtra Vidyapeeth,427,8572
Tilka Manjhi Bhagalpur University,481,8973
Tripura University,278,7307
Tumkur University,445,8756
U.P. Pt. Deen Dayal Upadhyaya Veterinary Science University and Cattle Research Institute,611,9872
Uka Tarsadia University,308,7620
"University of Agricultural and Horticultural Sciences, Shivamogga",710,10685
"University of Agricultural Sciences, Bangalore",264,7139
"University of Agricultural Sciences, Dharwad",334,7834
"University of Agricultural Sciences, Raichur",655,10206
University of Allahabad,71,4219
University of Burdwan,95,4709
University of Calcutta,47,3331
University of Calicut,52,3568
University of Delhi,1,248
"University of Engineering and Management, Kolkata",387,8298
University of Gour Banga,467,8900
"University of Horticultural Sciences, Bagalkot",635,10082
University of Hyderabad,42,3116
University of Jammu,219,6590
University of Kalyani,261,7112
University of Kashmir,116,5012
University of Kerala,60,3884
University of Kota,418,8521
University of Lucknow,46,3285
University of Madras,51,3566
University of Mumbai,24,2110
University of Mysore,49,3445
University of North Bengal,324,7774
University of Patanjali,742,10889
University of Petroleum and Energy Studies,45,3218
University of Rajasthan,61,3894
"University of Science and Technology, Meghalaya",555,9449
University of Technology,650,10170
University of Trans-Disciplinary Health Sciences and Technology,672,10362
Usha Martin University,814,11668
Utkal University,333,7831
Utkal University of Culture,723,10756
Uttar Banga Krishi Viswavidyalaya,631,10062
Uttar Pradesh University of Medical Sciences,583,9663
"Uttarakhand Aawasiya Vishwavidyalaya, Almora",873,12735
Uttarakhand Ayurved University,652,10191
Uttarakhand Sanskrit University,657,10219
Uttarakhand Technical University,372,8138
Uttaranchal University,391,8316
Vasantrao Naik Marathwada Krishi Vidyapeeth,408,8466
Veer Bahadur Singh Purvanchal University,252,7030
Veer Chandra Singh Garhwali Uttarakhand University of Horticulture & Forestry,675,10374
Veer Kunwar Singh University,367,8094
Veer Narmad South Gujarat University,135,5461
Veer Surendra Sai University of Technology,243,6910
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,204,6422
Vels University,277,7279
Vidyasagar University,565,9480
Vignan University,298,7514
Vijayanagara Sri Krishnadevaraya University,690,10491
Vikram University,541,9381
Vikrama Simhapuri University,519,9249
Vinayaka Mission's Research Foundation,229,6720
Vinayaka Missions Sikkim University,823,11725
Vinoba Bhave University,433,8621
Vishwakarma University,587,9685
Visva-Bharati University,109,4889
Visvesvaraya National Institute of Technology,154,5866
Visvesvaraya Technological University,53,3635
VIT Bhopal University,402,8383
VIT University,9,1231
Vivekananda Global University,585,9676
West Bengal State University,515,9228
West Bengal University of Animal and Fishery Sciences,592,9716
West Bengal University of Health Sciences,304,7578
"West Bengal University of Teachers' Training, Education Planning and Administration",805,11494
"William Carey University, Meghalaya",756,10996
Xavier University Bhubaneswar,309,7632
YBN University,831,11810
Yenepoya University,516,9233
Yogi Vemana University,520,9253
Utkal University,333,7831
Utkal University of Culture,723,10756
Uttar Banga Krishi Viswavidyalaya,631,10062
Uttar Pradesh University of Medical Sciences,583,9663
"Uttarakhand Aawasiya Vishwavidyalaya, Almora",873,12735
Uttarakhand Ayurved University,652,10191
Uttarakhand Technical University,372,8138
Uttarakhand University of Horticulture and Forestry,675,10374
Uttaranchal Sanskrit University,657,10219
Uttaranchal University,391,8316
Vasantrao Naik Marathwada Krishi Vidyapeeth,408,8466
Veer Bahadur Singh Purvanchal University,252,7030
Veer Kunwar Singh University,367,8094
Veer Narmad South Gujarat University,135,5461
Veer Surendra Sai University of Technology,243,6910
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,204,6422
Vels University,277,7279
Vidyasagar University,565,9480
Vignan University,298,7514
Vijayanagara Sri Krishnadevaraya University,690,10491
Vikram University,541,9381
Vikrama Simhapuri University,519,9249
Vinayaka Missions Sikkim University,823,11725
Vinayaka Missions University,229,6720
Vinoba Bhave University,433,8621
Vishwakarma University,587,9685
Visva-Bharati University,109,4889
Visvesvaraya National Institute of Technology,154,5866
Visvesvaraya Technological University,53,3635
VIT Bhopal University,402,8383
VIT University,9,1231
Vivekananda Global University,585,9676
West Bengal State University,515,9228
West Bengal University of Animal and Fishery Sciences,592,9716
West Bengal University of Health Sciences,304,7578
"West Bengal University of Teachers' Training, Education Planning and Administration",805,11494
"William Carey University, Meghalaya",756,10996
Xavier University Bhubaneswar,309,7632
YBN University,831,11810
Yenepoya University,516,9233
Yogi Vemana University,520,9253
